PlotID,SiteID,BlockID,LAT_WGS84,LONG_WGS84,StudyName,FID,Installation,PLOT,PlantDensityHa,Replicate,Culture,Treatment,ThinTreatment,PlotSizeHa,nd,YearMeas,MonthMeas,AgeMeas,WOODY,FOL,ROOT_FINE,ROOT_COARSE,TOTB,Nha,GEP,ET,Ctrans,Ctrans_H,WOODY_H,FOL_H,ROOT_H,LAI,LAI_H,LAI_TOTAL,FOL_PROD,FOL_PROD_H,FOL_PROD_TOTAL,ROOT_PROD_TOTAL,SI25m,SiteLAT_WGS84,SiteLONG_WGS84,BlockLAT_WGS84,BlockLONG_WGS84,MeasureLength,thin_flag,annual_mortality,ind_removed,ind_removed_prop,WSest_sd,WFest_sd,GEP_sd,ET_sd,Ctrans_sd,WRest_sd,Ctrans_H_sd
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,1,13,49.56,-99,-99,13.82,-99,-99,-99,-99,-99,-99,7.38,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,2,13.08333333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,3,13.16666667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,4,13.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,5,13.33333333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,6,13.41666667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,7,13.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,8,13.58333333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,9,13.66666667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
40001,40001,40001,35.9782,-79.0942,DUKEFACE,1001,1,1,0,1,0,C,0,0.2826,-99,1996,10,13.75,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,22.5,35.9782,-79.0942,35.9782,-79.0942,-99,0,0,0,0,-99,1,-99,-99,-99,-99,-99
