PlotID,SiteID,BlockID,LAT_WGS84,LONG_WGS84,Planting_year,PlantMonth,PlantDensityHa,Initial_age,Initial_year,Initial_month,End_age,Initial_ASW,ASW_min,ASW_max,SoilClass,SI,FR,Initial_WF,Initial_WR,Initial_WS,Initial_WCR,StudyName,FID,Installation,Plot,Replicate,Culture,Treatment,ThinTreatment,DroughtLevel,DroughtStart,FertFlag,CO2flag,CO2elev,IrrFlag,IrrLevel,ControlPlotID,Initial_WF_H,Initial_WR_H,Initial_WS_H,SiteLAT_WGS84,SiteLONG_WGS84,BlockLAT_WGS84,BlockLONG_WGS84,MeasureLength,SI_computed,sand,clay,silt,aws0150wta,drclassdcd,textureClass,Soils_OK,mean_annual_temp,mean_annual_precip,matched_FR_plotid,Initial_LAI,Initial_LAI_code,Initial_WR_code
40001,40001,40001,35.9782,-79.0942,1983,6,1511.158994,13,1996,1,21,208.500004,0,208.500004,CL,20.451875,-99,2.62,2.68,49.56,13.82,DKFACE,1001,-99,-99,1,-99,C,0,1,1996,0,0,0,0,-99,40001,1.26,0.870309278,7.38,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40006,1.435483871,0,0
40002,40001,40001,35.9782,-79.0942,1983,6,1152.238199,13,1996,1,21,208.500004,0,208.500004,CL,20.451875,-99,2.8,3.38,53.58,15.84,DKFACE,1001,-99,-99,2,-99,CO2,0,1,1996,0,1,571,0,-99,40001,1.8,0.81185567,12.52,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40003,1.734516129,0,0
40003,40001,40001,35.9782,-79.0942,1983,6,1858.76525,13,1996,1,21,208.500004,0,208.500004,CL,20.188,-99,4.74,1.98,98.82,23.56,DKFACE,1001,-99,-99,3,-99,CO2,0,1,1996,0,1,571,0,-99,40005,0.6,0.597525773,5.8,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40004,2.528387097,0,0
40004,40001,40001,35.9782,-79.0942,1983,6,1742.087824,13,1996,1,21,208.500004,0,208.500004,CL,18.83541667,-99,3.74,2.92,72.48,18.02,DKFACE,1001,-99,-99,4,-99,CO2,0,1,1996,0,1,571,0,-99,40006,0.92,0.720927835,4.68,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40002,2.348387097,0,0
40005,40001,40001,35.9782,-79.0942,1983,6,1521.150383,13,1996,1,21,208.500004,0,208.500004,CL,20.188,-99,4.6,1.32,80.62,19.86,DKFACE,1001,-99,-99,5,-99,C,0,1,1996,0,0,0,0,-99,40005,0.9,0.428659794,5.22,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40001,2.279032258,0,0
40006,40001,40001,35.9782,-79.0942,1983,6,2475.594117,13,1996,1,21,208.500004,0,208.500004,CL,18.83541667,-99,4.16,1.86,80.32,19.28,DKFACE,1001,-99,-99,6,-99,C,0,1,1996,0,0,0,0,-99,40006,0.74,0.539072165,3.24,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40005,2.160322581,0,0
40007,40001,40002,35.9782,-79.0942,1983,6,1334.898541,15,1998,1,21,208.500004,0,208.500004,CL,19.62857143,-99,5.7,2.356666667,85.06,22.32,DKFACE,1001,-99,-99,1,-99,CO2,0,1,1998,0,1,571,0,-99,40009,1.32,0.948247423,11.76,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40002,2.625,1,0
40008,40001,40002,35.9782,-79.0942,1983,6,1227.966616,15,1998,1,21,208.500004,0,208.500004,CL,-99,1,6.34,2.302777778,78.7,20.54,DKFACE,1001,-99,-99,2,-99,CO2F,0,1,1998,1,1,571,0,-99,40009,1.16,0.948247423,9.42,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40008,2.394516129,1,0
40009,40001,40003,35.9782,-79.0942,1983,6,1842.579517,15,1998,1,21,208.500004,0,208.500004,CL,19.62857143,-99,4.82,2.123240741,81.54,21.72,DKFACE,1001,-99,-99,1,-99,C,0,1,1998,0,0,0,0,-99,40009,1.08,0.792371134,12.76,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40011,2.252903226,1,0
40010,40001,40003,35.9782,-79.0942,1983,6,1221.171111,15,1998,1,21,208.500004,0,208.500004,CL,-99,1,5.76,2.147114198,80.84,20.72,DKFACE,1001,-99,-99,2,-99,F,0,1,1998,1,0,0,0,-99,40009,1.24,0.792371134,9.34,35.9782,-79.0942,35.9782,-79.0942,-99,73,40,29,31,208.500004,Well drained,ClLo,1,14.99500967,1180.880198,40012,1.660322581,1,0
